Chloe K.,/user_details?userid=YvVgMUzdboi4yHy8xnuf5Q,"Los Angeles, CA",3/3/2023,5.0,"Edy and Josh are the BEST bartenders. We had a great time, drinks were amazing! Have gone twice now and will definitely be back"
Ashley V.,/user_details?userid=XopeuBgkH9LrEFPpj-Oigw,"Brooklyn, NY",7/14/2018,5.0,No comment,https://www.yelp.com/biz/maite-brooklyn?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Natalie A.,/user_details?userid=MHWdvPDf24YdqGfFeiX8oA,"Chicago, IL",4/2/2019,5.0,No comment,https://www.yelp.com/biz/maite-brooklyn?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Rameen N.,/user_details?userid=lAPxLN9Pe3ZXuWQ-J3FcUw,"Clifton Park, NY",9/27/2020,5.0,Amazing farm to table food!!! A really diverse and friendly staff who always make me feel welcomed!! Some of the best cocktails I have had in BK!!! I love the cute patio and how quickly the food comes out of the kitchen! This is definitely a gem in Brooklyn!!! The owner is usually on the floor and always greets me and remembered what I like to order!,https://www.yelp.com/biz/maite-brooklyn?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Justina E.,/user_details?userid=p2J7wBuBfFwhxsJiiE_lfQ,"Brooklyn, NY",3/19/2018,5.0,No comment,https://www.yelp.com/biz/maite-brooklyn?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
James S.,/user_details?userid=pUdu1YhAAgby2VfyjiV77A,"Manhattan, NY",6/25/2020,5.0,Maybe the best restaurant for price and quality in NYC!  I've been to many Michelin star restaurants and this one is better than a lot of those I've been to. It's really incredible!,https://www.yelp.com/biz/maite-brooklyn?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Sabrina L.,/user_details?userid=Q6a0q_Q21i2Av0EBL2XrVQ,"New York, NY",12/14/2016,3.0,No comment,https://www.yelp.com/biz/maite-brooklyn?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Julia F.,/user_details?userid=ck-i1deLxFgK-cIPDMdktQ,"Brooklyn, NY",9/25/2018,4.0,"Columbia meets Italy? Welcome to the land of gnocchi and empanadas stuffed with pig cheek. My night of fatty, salty, sweet, and smoky can be summed up by their rack of lamb with an order of the collard greens. Get it in your mouth or your date's mouth. They serve family style for a reason (winky face)....",https://www.yelp.com/biz/maite-brooklyn?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Chloe D.,/user_details?userid=7aV8iYJEdX7ZJNr1O9aoHQ,"Oakland, CA",1/25/2020,3.0,"My partner and I were very excited to try Maite for a date night since we recently moved to Bushwick. It has a great vibe and delicious selection. My partner got the burger and thought it was great, 9/10. However we were super disappointed by the duck egg. We could tell it was good quality and prepared well, but there was just way too much salt! Finishing my dish was such a battle, because I wanted to love it but the salt was too pungent. Even the yuca fries were very salty, but still somewhat bearable. We enjoyed the ambiance and good wine but I'm not sure if we'll come back.",https://www.yelp.com/biz/maite-brooklyn?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Dawin C.,/user_details?userid=GVnlEZthZXUufFSgzMZ7oA,"Queens, Queens, NY",12/15/2019,1.0,No comment,https://www.yelp.com/biz/maite-brooklyn?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Alice S.,/user_details?userid=5syw6uFd5WNx0Dx1sy5rgQ,"Westside, Las Vegas, NV",4/29/2018,1.0,No comment,https://www.yelp.com/biz/maite-brooklyn?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
